For Period: from 02/02/2017 to 02/02/2017
Active and Inactive Subscriptions counted
Region	State	Library	AccountId	SalesRep	Subscription Start Date	Subscription End Date	Subscription Status	System Name
North America	Texas	Corpus Christi Public Library		cstrickland	02/21/2013	02/28/2017	Inactive	
North America	Oregon	Corvallis-Benton County Library		Messersmith	11/01/2016	10/31/2017	Inactive	
Europe, UK	England	Coventry Libraries and Information Service	10000044		12/01/2012	11/30/2018	Inactive	
North America	Texas	Cozby Library and Community Commons	1731987	cstrickland	12/01/2016	11/30/2017	Inactive	
North America	British Columbia	Cranbrook Public Library	7040655	Messersmith	01/01/2017	12/31/2017	Inactive	BC Libraries Cooperative 7040759
North America	New York	Crandall Public Library		rseifert	07/01/2016	06/30/2017	Inactive	
North America	Indiana	Crawfordsville District Public Library		dmcdonald1	10/01/2016	09/30/2017	Inactive	
North America	British Columbia	Creston Public Library		Messersmith	01/01/2017	12/31/2017	Inactive	BC Libraries Cooperative 7040759
North America	Illinois	Crestwood Public Library		mhaddadnull	03/01/2016	02/28/2017	Inactive	
North America	Illinois	Crete Public Library	7084219	mhaddadnull	01/01/2017	12/31/2017	Inactive	
Europe, UK	England	Croydon, Ealing, Harrow & Hounslow CCS Libraries	CCS001		12/17/2015	03/11/2018	Inactive	
North America	Alabama	Cullman County Public Library		bgilbert	02/15/2016	02/28/2017	Inactive	
North America	Virginia	Culpeper County Library	7052387	swilliams1	10/01/2016	09/30/2017	Inactive	Library of Virginia/Lyrasis-7051842
Europe, UK	Scotland	Culture Perth and Kinross	10000168		11/01/2014	10/31/2018	Inactive	
Europe, UK	Scotland	CultureNL Libraries			10/26/2015	10/31/2017	Inactive	
North America	North Carolina	Cumberland County Public Library	7026560	swilliams1	03/01/2016	02/28/2017	Inactive	
Europe, UK	England	Cumbria Libraries	10000046		10/01/2014	09/30/2017	Inactive	
North America	North Carolina	Currituck County Public Library	7050032	swilliams1	07/01/2016	06/30/2017	Inactive	
North America	Ohio	Cuyahoga Falls Library		dmcdonald1	02/01/2017	01/31/2018	Inactive	
North America	Minnesota	Dakota County Library	1719129	mears	02/01/2017	01/31/2018	Inactive	MELSA
North America	Texas	Dallas Public Library		cstrickland	12/01/2016	05/31/2017	Inactive	
North America	Missouri	Daniel Boone Regional Library	7075788	swilks	10/01/2016	09/30/2017	Inactive	
Europe, Europe without UK	Kobenhavn	Danskernes Digitale Bibliotek - Magazines, eAudio, and eBooks		pedromoura	01/01/2017	12/31/2017	Inactive	
North America	Virginia	Danville Public Library	7075794	swilliams1	10/01/2016	09/30/2017	Inactive	Library of Virginia/Lyrasis-7051842
Australia	Victoria	Darebin Libraries			02/01/2015	07/31/2019	Active	
North America	Connecticut	Darien Library	1732644	jlevy	04/01/2016	03/31/2017	Inactive	SVOD - A, Q, IF; No Pongalo
Europe, UK	England	Darlington			03/18/2016	03/31/2018	Inactive	
North America	Massachusetts	Dartmouth Public Libraries		jlevy	10/01/2016	09/30/2017	Inactive	
North America	Iowa	Davenport Public Library	7036496	PaulGillespie	02/01/2017	01/31/2018	Inactive	
North America	North Carolina	Davidson County Library	1744953	swilliams1	10/01/2016	09/30/2017	Inactive	
North America	Kentucky	Daviess County Public Library	1723917	dmcdonald1	04/09/2013	03/31/2017	Inactive	
North America	Utah	Davis County Library System		cpitcher	11/01/2016	10/31/2017	Inactive	
North America	Maryland	Dawn's Library			03/01/2016	02/28/2018	Inactive	
North America	Ohio	Dayton Metro Library		Messersmith	02/01/2017	01/31/2018	Inactive	
North America	District of Columbia	DC Public Library	1731018	Doss	04/01/2016	03/31/2017	Inactive	
Asia	Philippines	De La Salle-College of Saint Benilde		ballan1	04/16/2016	04/30/2017	Inactive	
North America	Texas	Deer Park Public Library		cstrickland	07/01/2016	06/30/2017	Inactive	
North America	Illinois	Deerfield Public Library		mhaddadnull	01/01/2017	12/31/2017	Inactive	
North America	Ohio	Defiance Public Library	7083912	dmcdonald1	01/01/2017	07/31/2017	Inactive	
North America	Georgia	DeKalb County Public Library		bgilbert	10/01/2016	09/30/2017	Inactive	
North America	Ohio	Delaware County District Library	7074908	dmcdonald1	09/01/2016	08/31/2017	Inactive	
North America	Pennsylvania	Delaware County Libraries		lkurucz	01/01/2017	12/31/2017	Inactive	
North America	Colorado	Delta County Libraries	1718532	hyena	10/01/2016	09/30/2017	Inactive	
North America	Texas	Denton Public Library	7076489	cstrickland	11/01/2016	10/31/2017	Inactive	
North America	Colorado	Denver Public Library System		hyena	02/01/2017	01/31/2018	Inactive	
Europe, UK	England	Derby City Library			06/01/2015	06/30/2018	Inactive	
North America	Kansas	Derby Public Library		swilks	02/01/2017	01/31/2018	Inactive	
Europe, UK	England	Derbyshire County Council			09/25/2014	09/30/2018	Inactive	
North America	Iowa	Des Moines Public Library	1717450	PaulGillespie	10/01/2016	09/30/2017	Inactive	
North America	Illinois	Des Plaines Public Library		mhaddadnull	10/01/2016	09/30/2017	Inactive	
North America	Oregon	Deschutes Public Library	7054063	Messersmith	07/01/2016	06/30/2017	Inactive	
Europe, UK	England	Devon Libraries	DEV111		09/16/2015	09/30/2018	Inactive	
North America	Maryland	Digital Content Associates School Trial		ballan1	09/01/2016	08/31/2017	Inactive	
North America	Iowa	Digital Johnson County		PaulGillespie	10/01/2016	09/30/2017	Inactive	
North America	Maryland	Digital Products Support			02/01/2017	03/01/2017	Inactive	
Australia	South Australia	Directorate of Library and Information Service			06/01/2015	05/31/2020	Active	
North America	Florida	Disney Parks, Experiences and Products		bgilbert	10/01/2016	09/30/2017	Inactive	
North America	Florida	Disney Parks, Experiences and Products - Exec		bgilbert	10/01/2016	09/30/2017	Inactive	
North America	Illinois	Dolton Public Library	7052091	mhaddadnull	05/01/2016	04/30/2017	Inactive	
North America	South Carolina	Dorchester County Library	7026583	swilliams1	10/01/2016	09/30/2017	Inactive	
Europe, UK	England	Dorset Library Service			06/08/2015	11/30/2018	Inactive	
North America	Alabama	Dothan Houston County Library System		bgilbert	10/01/2016	09/30/2017	Inactive	
North America	Georgia	Dougherty County Public Library	7040834	bgilbert	10/01/2016	09/30/2017	Inactive	GADD
North America	Colorado	Douglas County Libraries		hyena	10/01/2016	09/30/2017	Inactive	
Europe, UK	England	Douglas Henry Bloom Noble Library			08/18/2016	08/31/2017	Inactive	
North America	Vermont	Dover Free Library	7027138	jlevy	03/01/2016	02/28/2017	Inactive	Value; SVOD--Indieflix, Acorn, Qello, Pongalo, Great Courses; unlimited;
North America	Illinois	Downers Grove Public Library		mhaddadnull	10/01/2016	09/30/2017	Inactive	
North America	California	Downey City Library		mransdell	11/16/2016	11/30/2017	Inactive	
Asia	Dubai	Dubai American Academy		ballan1	10/01/2016	09/30/2017	Inactive	
Europe, UK	England	Dudley	10000058		03/01/2015	02/28/2018	Inactive	
Europe, UK	Scotland	Dumfries and Galloway Council			07/01/2015	06/30/2017	Inactive	
Europe, UK	Scotland	Dundee			03/01/2015	02/28/2018	Inactive	
New Zealand	Dunedin	Dunedin Public Libraries			11/20/2014	11/30/2017	Inactive	
Europe, UK	England	Durham County Council			03/01/2015	02/28/2018	Inactive	
North America	North Carolina	Durham County Library	7026573	swilliams1	04/01/2016	03/31/2017	Inactive	
North America	Louisiana	East Baton Rouge Parish Library	7052863	cstrickland	10/01/2016	09/30/2017	Inactive	
North America	Minnesota	East Central Regional Library System	7077467	cpitcher	11/01/2016	10/31/2017	Inactive	
Europe, UK	Scotland	East Dunbartonshire Libraries			12/01/2014	11/30/2017	Inactive	
Australia	Victoria	East Gippsland Shire Library			01/18/2015	01/31/2020	Active	
North America	Michigan	East Lansing Public Library	7062196	dmcdonald1	08/01/2016	06/30/2017	Inactive	
Europe, UK	Scotland	East Lothian Libraries	10000066		06/17/2013	04/30/2018	Inactive	
North America	New York	East Meadow Public Library		swilliams1	12/15/2016	12/31/2017	Inactive	Nassau
Europe, UK	England	East Riding of Yorkshire Council			12/01/2014	11/30/2018	Inactive	
North America	New York	East Rockaway Public Library		swilliams1	01/01/2017	12/31/2017	Inactive	Nassau
Europe, UK	England	East Sussex	EAS195		11/17/2015	03/31/2018	Inactive	
Australia	Victoria	Eastern Regional Libraries			10/01/2014	09/30/2019	Active	
North America	Maryland	Eastern Shore Libraries	1737907	swilliams1	01/01/2017	06/30/2017	Inactive	
North America	Virginia	Eastern Shore Public Library	7082466	swilliams1	10/01/2016	09/30/2017	Inactive	Library of Virginia/Lyrasis-7051842
North America	Pennsylvania	Easton Area Public Library	1723900	lkurucz	02/01/2017	01/31/2018	Inactive	
North America	Connecticut	Easton Public Library	1726317	jlevy	12/01/2016	11/30/2017	Inactive	Value
Europe, UK	Scotland	Edinburgh Libraries	10000071		12/01/2014	11/30/2017	Inactive	
North America	Alberta	Edmonton Public Library	1724246	Messersmith	11/01/2016	10/31/2017	Inactive	Alberta Municipal Affairs 7104420
North America	Texas	El Paso Public Library	7055498	cstrickland	07/01/2016	06/30/2017	Inactive	
North America	Illinois	Ela Area Public Library		mhaddadnull	10/01/2016	09/30/2017	Inactive	
North America	Quebec	Eleanor London Cote Saint-Luc Public Library	7104519	rseifert	04/01/2016	03/31/2017	Inactive	
North America	Ontario	Elgin County Library	7052603	rseifert	07/01/2016	06/30/2017	Inactive	
North America	Illinois	Elk Grove Village Public Library	7034046	mhaddadnull	11/01/2016	10/31/2017	Inactive	
North America	British Columbia	Elkford Public LIbrary	7040646	Messersmith	01/01/2017	12/31/2017	Inactive	BC Libraries Cooperative 7040759
North America	Indiana	Elkhart Public Library and Goshen Public Library Consortium		dmcdonald1	01/01/2017	12/31/2017	Inactive	
North America	Illinois	Ella Johnson Memorial Public Library District	7052549	mhaddadnull	08/01/2016	07/31/2017	Inactive	
North America	Illinois	Elmhurst Public Library	7035032	mhaddadnull	11/01/2016	10/31/2017	Inactive	
North America	New York	Elmont Public Library		swilliams1	12/15/2016	12/31/2017	Inactive	Nassau
North America	Illinois	Elmwood Park Public Library		mhaddadnull	11/01/2016	10/31/2017	Inactive	
North America	New York	Emma S. Clark Memorial Library	7117218	swilliams1	07/01/2016	06/30/2017	Inactive	
Asia	Turkey	Enka School		WFHINT	02/16/2016	02/28/2017	Inactive	
North America	Maryland	Enoch Pratt Free Library	7075120	Doss	11/01/2016	10/31/2017	Inactive	
North America	Alabama	Envion Test Library			01/01/2015	12/31/2020	Active	
North America	Pennsylvania	Ephrata Public Library		lkurucz	11/01/2012	12/31/2017	Inactive	
Europe, UK	England	Essex County Council Libraries	10000073		05/01/2015	04/30/2018	Inactive	
North America	Ontario	Essex County Library		rseifert	10/01/2016	09/30/2017	Inactive	
North America	Oregon	Eugene Public Library	7040855	Messersmith	01/01/2017	12/31/2017	Inactive	
North America	Indiana	Evansville Vanderburgh Public Library	1719000	dmcdonald1	11/01/2016	10/31/2017	Inactive	
North America	Ontario	Export Development Canada		rseifert	12/01/2016	11/30/2017	Inactive	
North America	Alaska	Fairbanks North Star Borough Public Library	7052646	Messersmith	07/01/2016	06/30/2017	Inactive	
North America	Virginia	Fairfax County Public Library	7109365	Doss	12/01/2016	09/30/2017	Inactive	Library of Virginia/Lyrasis-7051842
Australia	New South Wales	Fairfield City Council			06/01/2015	06/30/2020	Active	
North America	Connecticut	Fairfield Public Library	7060011	jlevy	05/01/2016	04/30/2017	Inactive	
North America	Alabama	Fairhope Public Library	1723918	bgilbert	12/01/2016	11/30/2017	Inactive	
North America	West Virginia	Fairmont State University		dmcdonald1	07/01/2016	06/30/2017	Inactive	WV Deli-7120407
Europe, UK	Scotland	Falkirk Libraries			12/01/2014	11/30/2018	Inactive	
North America	Massachusetts	Fall River Public Library		jlevy	06/01/2016	05/31/2017	Inactive	
North America	New York	Farmingdale Public Library		swilliams1	01/01/2017	12/31/2017	Inactive	Nassau
North America	Virginia	Fauquier County Public Library	1718536	swilliams1	10/01/2016	09/30/2017	Inactive	Library of Virginia/Lyrasis-7051842
North America	West Virginia	Fayette County Public Library		dmcdonald1	07/01/2016	06/30/2017	Inactive	WV Deli-7120407
North America	Arkansas	Fayetteville Public Library	1718537	swilks	05/01/2016	04/30/2017	Inactive	
North America	Virginia	Federal Reserve Bank System	7084231	Doss	01/01/2017	12/31/2017	Inactive	
North America	British Columbia	Fernie Public Library	7040645	Messersmith	01/01/2017	12/31/2017	Inactive	BC Libraries Cooperative 7040759
Europe, UK	Scotland	Fife Cultural Trust			04/01/2015	03/31/2018	Inactive	
North America	New York	Finger Lakes Library System		rseifert	07/01/2016	06/30/2017	Inactive	
North America	New York	Finkelstein Memorial Library		rseifert	11/01/2016	10/31/2017	Inactive	Premium Mags; SVOD--Acorn, IF, Qello, Pongalo, Great Courses
North America	Colorado	Flatirons Library Consortium		hyena	10/01/2016	09/30/2017	Inactive	
North America	South Carolina	Florence Darling Technical College		swilliams1	07/01/2016	06/30/2017	Inactive	
North America	Texas	Flower Mound Public Library	1720532	cstrickland	01/01/2017	12/31/2017	Inactive	
North America	Kentucky	Floyd County Public Library		dmcdonald1	12/01/2016	11/30/2017	Inactive	Value Collection
North America	Virginia	Fluvanna County Public Library	7053039	swilliams1	10/01/2016	09/30/2017	Inactive	Library of Virginia/Lyrasis-7051842
North America	Illinois	Forest Park Public Library		mhaddadnull	12/01/2016	11/30/2017	Inactive	
North America	Georgia	Forsyth County Public Library		bgilbert	07/15/2016	07/31/2017	Inactive	
North America	North Carolina	Forsyth County Public Library	7026603	swilliams1	11/01/2016	10/31/2017	Inactive	
North America	Ontario	Fort Erie Public Library	7092891	rseifert	01/01/2017	12/31/2017	Inactive	
North America	British Columbia	Fort Nelson Public Library	7040644	Messersmith	01/01/2017	12/31/2017	Inactive	BC Libraries Cooperative 7040759
North America	British Columbia	Fort St. James Public Library	7040786	Messersmith	01/01/2017	12/31/2017	Inactive	BC Libraries Cooperative 7040759
North America	British Columbia	Fort St. John Public Library	7040643	Messersmith	01/01/2017	12/31/2017	Inactive	BC Libraries Cooperative 7040759
North America	Washington	Fort Vancouver Regional Library	1743538	Messersmith	01/01/2017	12/31/2017	Inactive	
North America	Illinois	Fountaindale Public Library	7036164	mhaddadnull	02/01/2017	01/31/2018	Inactive	
North America	Illinois	Fox Lake Public Library	7081675	mhaddadnull	11/01/2016	10/31/2017	Inactive	
North America	Massachusetts	Framingham Public Library		ngilbert	09/01/2016	08/31/2017	Inactive	
North America	Pennsylvania	Frank Sarris Public Library	7061799	lkurucz	01/01/2017	12/31/2017	Inactive	
North America	Illinois	Frankfort Public Library District	1727433	mhaddadnull	01/01/2017	12/31/2017	Inactive	
North America	Virginia	Franklin County Public Library		swilliams1	05/01/2016	09/30/2017	Inactive	Library of Virginia/Lyrasis-7051842
North America	Illinois	Franklin Park Public Library District	7053034	mhaddadnull	07/01/2016	06/30/2017	Inactive	
North America	Massachusetts	Franklin Public Library		jlevy	01/01/2017	12/31/2017	Inactive	
North America	New York	Franklin Square Public Library		swilliams1	01/01/2017	12/31/2017	Inactive	Nassau
North America	New Jersey	Franklin Twp Public Library		lkurucz	07/01/2016	06/30/2017	Inactive	
Australia	Victoria	Frankston City Libraries			03/01/2015	02/29/2020	Active	
Australia	Queensland	Fraser Coast Libraries	10000302		07/10/2013	07/31/2019	Active	
North America	British Columbia	Fraser Lake Public Library	7040629	Messersmith	01/01/2017	12/31/2017	Inactive	BC Libraries Cooperative 7040759
North America	British Columbia	Fraser Valley Regional Library	7040641	Messersmith	01/01/2017	12/31/2017	Inactive	BC Libraries Cooperative 7040759
North America	Maryland	Frederick County Public Libraries	7027726	swilliams1	05/01/2016	04/30/2017	Inactive	
North America	Pennsylvania	Free Library of Philadelphia	7083898	Doss	12/01/2016	11/30/2017	Inactive	
North America	New York	Freeport Memorial Library		swilliams1	12/15/2016	12/31/2017	Inactive	Nassau
North America	Illinois	Fremont Public Library	7039951	mhaddadnull	06/01/2016	05/31/2017	Inactive	
North America	California	Fresno County Public Library	7083465	mransdell	03/01/2016	02/28/2017	Inactive	
North America	Texas	Friendswood Public Library	7081672	cstrickland	12/01/2016	11/30/2017	Inactive	
North America	Texas	Frisco Public Library	1716310	cstrickland	01/01/2017	12/31/2017	Inactive	
North America	California	Fullerton Public Library	7075131	mransdell	10/01/2016	09/30/2017	Inactive	Santiago
North America	Georgia	Fulton County Library System		Doss	04/15/2016	04/30/2017	Inactive	
North America	Indiana	Fulton County Public Library		dmcdonald1	01/01/2017	12/31/2017	Inactive	
North America	Illinois	Gail Borden Public Library		mhaddadnull	04/01/2016	03/31/2017	Inactive	
North America	New York	Garden City Public Library		swilliams1	12/15/2016	12/31/2017	Inactive	Nassau
North America	North Carolina	Gaston County Public Library	7035378	swilliams1	04/01/2016	03/31/2017	Inactive	
North America	Manitoba	Gaynor Family Regional Library		Messersmith	01/01/2017	06/30/2017	Inactive	Manitoba Rural Library Consortia
North America	Ohio	Geauga County Public Library		dmcdonald1	02/25/2013	02/28/2017	Inactive	
Australia	Victoria	Geelong Regional Library Corporation			10/01/2014	09/30/2019	Active	
North America	Michigan	Genesee District Library	7083378	hyena	01/01/2017	12/31/2017	Inactive	
North America	Illinois	Geneva Public Library District		mhaddadnull	06/01/2016	05/31/2017	Inactive	
North America	British Columbia	Gibsons & District Public Library	7149967	Messersmith	01/01/2017	12/31/2017	Inactive	BC Libraries Cooperative-7040759
Australia	Queensland	Gladstone Regional Library	10000456		07/19/2013	07/31/2019	Active	
Europe, UK	Scotland	Glasgow Life			09/01/2013	08/31/2018	Inactive	
North America	Massachusetts	Gleason Public Library	7052934	jlevy	02/01/2017	01/31/2018	Inactive	
Australia	Victoria	Glen Eira			06/01/2015	05/31/2020	Active	
North America	Illinois	Glen Ellyn Public Library	7097674	mhaddadnull	02/01/2017	01/31/2018	Inactive	
North America	Illinois	Glencoe Public Library	7034048	mhaddadnull	03/01/2016	02/28/2017	Inactive	
North America	Arizona	Glendale Public Library	7093287	hyena	07/01/2016	06/30/2017	Inactive	
North America	Illinois	Glenside Public Library	7059218	mhaddadnull	07/01/2016	06/30/2017	Inactive	
Australia	South Australia	Glenunga International High School			07/15/2013	08/31/2017	Inactive	
North America	Illinois	Glenview Public Library		mhaddadnull	04/16/2013	04/30/2017	Inactive	
North America	West Virginia	Glenville State College		dmcdonald1	07/01/2016	06/30/2017	Inactive	WV Deli-7120407
North America	Manitoba	Glenwood and Souris Regional Library		Messersmith	01/01/2017	06/30/2017	Inactive	Manitoba Rural Library Consortia
North America	New Jersey	Gloucester County Library	1720519	lkurucz	02/01/2017	01/31/2018	Inactive	
North America	Virginia	Gloucester Public Library	1736000	swilliams1	10/01/2016	09/30/2017	Inactive	Library of Virginia/Lyrasis-7051842
Europe, UK	England	Gloucestershire County Library			06/17/2015	06/30/2017	Inactive	
Australia	Queensland	Gold Coast City Libraries			04/01/2015	03/31/2020	Active	
North America	New York	Gold Coast Public Library		swilliams1	01/01/2017	12/31/2017	Inactive	Nassau - SVOD(all + TGC)
Australia	Victoria	Goldfields Library Corporation	10000306		12/01/2014	11/30/2019	Active	
North America	Kentucky	Goodnight Memorial Public Library		dmcdonald1	01/01/2017	12/31/2017	Inactive	
Australia	Victoria	Goulburn Valley Libraries			12/18/2014	12/31/2019	Active	
North America	Connecticut	Granby Public Library		jlevy	11/01/2016	10/31/2017	Inactive	Value Collection
North America	Michigan	Grand Ledge Area District Library	7104499	dmcdonald1	04/01/2016	03/31/2017	Inactive	
North America	Michigan	Grand Rapids Public Library		hyena	02/01/2017	01/31/2018	Inactive	
North America	British Columbia	Granisle Public Library	7040652	Messersmith	01/01/2017	12/31/2017	Inactive	BC Libraries Cooperative 7040759
North America	Ohio	Granville Public Library		dmcdonald1	03/01/2016	02/28/2017	Inactive	
North America	Illinois	Grayslake Public Library	7057143	mhaddadnull	09/01/2016	08/31/2017	Inactive	
North America	Maryland	Great Clips Trial			09/01/2016	08/31/2017	Inactive	
North America	New York	Great Neck Library		swilliams1	01/01/2016	12/31/2017	Inactive	
North America	Georgia	Greater Clarks Hill Regional Library System		bgilbert	07/01/2016	06/30/2017	Inactive	GADD SVOD - A, IF, Q-unl
Australia	Victoria	Greater Dandenong Libraries	10000311		10/01/2014	06/30/2020	Active	
Europe, UK	England	Greater Manchester Libraries			06/16/2016	06/30/2018	Inactive	
North America	Ontario	Greater Sudbury Public Library	7052611	rseifert	01/01/2017	12/31/2017	Inactive	
North America	British Columbia	Greater Victoria Public Library	7133004	Messersmith	01/01/2017	12/31/2017	Inactive	BC Libraries Cooperative 7040759
North America	Illinois	Green Hills Public Library		mhaddadnull	01/01/2017	12/31/2017	Inactive	
North America	Pennsylvania	Greene County Library System		lkurucz	04/01/2016	03/31/2017	Inactive	
North America	Ohio	Greene County Public Library	7033188	dmcdonald1	01/01/2017	12/31/2017	Inactive	Central Library Consortium, Acorn Only
North America	South Carolina	Greenville County Library System	1725182	swilliams1	04/01/2016	03/31/2017	Inactive	
North America	Ohio	Greenville Public Library	7109710	dmcdonald1	06/01/2016	05/31/2017	Inactive	
North America	Rhode Island	Greenville Public Library	7039571	ngilbert	12/01/2016	11/30/2017	Inactive	
North America	Connecticut	Greenwich Library	1729406	jlevy	02/01/2017	01/31/2018	Inactive	SVOD--Acorn, Qello, IF, TGCNC; 2006 annual max
North America	British Columbia	Greenwood Public Library	7040639	Messersmith	01/01/2017	12/31/2017	Inactive	BC Libraries Cooperative 7040759
North America	Ontario	Guelph Public Library		rseifert	01/01/2017	12/31/2017	Inactive	
UK	Guernsey	Guernsey Libraries			04/20/2015	04/30/2018	Inactive	
North America	Georgia	Gwinnett County Public Library		Doss	01/01/2017	12/31/2017	Inactive	
Australia	Queensland	Gympie Regional Libraries			07/01/2015	06/30/2020	Active	
North America	Ontario	Haldimand County Public Library		rseifert	01/01/2017	12/31/2017	Inactive	
North America	Nova Scotia	Halifax Public Libraries		rseifert	02/01/2017	01/31/2018	Inactive	
North America	Georgia	Hall County Library System		bgilbert	08/15/2016	08/31/2017	Inactive	
North America	Indiana	Hamilton East Public Library	7057134	dmcdonald1	05/01/2016	04/30/2017	Inactive	
New Zealand	Hamilton	Hamilton Libraries			12/01/2014	11/30/2018	Inactive	
North America	Ontario	Hamilton Public Library		Messersmith	11/01/2016	10/31/2017	Inactive	
Europe, UK	England	Hammersmith & Fulham, Kensington & Chelsea, Westminster	TRI002		11/17/2016	02/28/2018	Inactive	
North America	Indiana	Hammond Public Library	7037806	dmcdonald1	10/01/2016	09/30/2017	Inactive	
Europe, UK	England	Hampshire Libraries and Information Service			04/01/2015	03/31/2018	Inactive	
North America	Virginia	Hampton Public Library	7052374	swilliams1	10/01/2016	09/30/2017	Inactive	Library of Virginia/Lyrasis-7051842
North America	Indiana	Hancock County Public Library	7052962	dmcdonald1	10/01/2016	09/30/2017	Inactive	
North America	Virginia	Handley Regional Library	7052919	swilliams1	10/01/2016	09/30/2017	Inactive	Library of Virginia/Lyrasis-7051842
North America	Maryland	Harford County Public Library	1737736	Doss	11/01/2016	10/31/2017	Inactive	
North America	Texas	Harker Heights Public Library		cstrickland	02/01/2017	01/31/2018	Inactive	Value Collection
North America	Connecticut	Hartford Public Library	7026484	jlevy	01/01/2017	12/31/2017	Inactive	SVOD--Acorn, QC, IF, Pongalo, Great Courses, Method Test Prep, Learn it Live; 1,000 Annual max, 20 weekly max, 4 per patron per month
North America	Illinois	Harvard Diggins Public Library	7034394	mhaddadnull	09/01/2016	08/31/2017	Inactive	
North America	Massachusetts	Harvard Public Library		jlevy	07/01/2016	06/30/2017	Inactive	
North America	Massachusetts	Haverhill Public Library		jlevy	11/01/2016	10/31/2017	Inactive	
Australia	New South Wales	Hawkesbury Library Service			02/15/2015	02/29/2020	Active	
North America	Pennsylvania	Hazleton Area Public Library and Osterhout Free Library		lkurucz	01/01/2017	12/31/2017	Inactive	
North America	Virginia	HCSB Public Library System	7052496	swilliams1	10/01/2016	09/30/2017	Inactive	Library of Virginia/Lyrasis-7051842
North America	Florida	Heartland Library Cooperative	7035824	bgilbert	11/01/2016	10/31/2017	Inactive	
North America	Illinois	Helen Plum Library		mhaddadnull	02/01/2017	01/31/2018	Inactive	
Europe, Europe without UK	Finland	Helmet-kirjasto		ballan1	01/01/2017	12/31/2017	Inactive	
North America	California	Hemet Public Library		mransdell	10/01/2016	09/30/2017	Inactive	Inland Library System - 7122395
North America	North Carolina	Henderson County Public Library		swilliams1	11/01/2016	10/31/2017	Inactive	
North America	Nevada	Henderson Libraries		hyena	04/01/2013	03/31/2017	Inactive	
North America	Minnesota	Hennepin County Library	1726981	mears	02/01/2017	01/31/2018	Inactive	MELSA
North America	Virginia	Henrico County Public Library	1717446	Doss	10/01/2016	09/30/2017	Inactive	Library of Virginia/Lyrasis-7051842
North America	Georgia	Henry County Public Library	7047915	bgilbert	06/01/2016	05/31/2017	Inactive	GADD
North America	New York	Henry Waldinger Memorial Library	7040591	swilliams1	01/01/2017	12/31/2017	Inactive	Nassau
North America	Virginia	Heritage Public Library	7067330	swilliams1	10/01/2016	09/30/2017	Inactive	Library of Virginia/Lyrasis-7051842
North America	Michigan	Herrick District Library	1717451	dmcdonald1	11/01/2016	10/31/2017	Inactive	
Europe, UK	England	Hertfordshire Libraries	10000514		03/01/2015	11/30/2018	Inactive	
North America	New York	Hewlett-Woodmere Public Library	7040596	swilliams1	01/01/2017	12/31/2017	Inactive	Nassau - All
North America	New York	Hicksville Public Library		swilliams1	01/01/2017	12/31/2017	Inactive	Nassau
North America	Texas	Hidalgo County Library System	7033202	cstrickland	04/01/2016	03/31/2017	Inactive	
Australia	Victoria	High Country Library Network			05/18/2015	05/31/2020	Active	
Europe, UK	Scotland	High Life Highland Libraries	10000095		09/01/2015	03/31/2018	Inactive	
North America	Colorado	High Plains Library District	7040849	hyena	03/01/2016	02/28/2017	Inactive	
North America	Illinois	Highland Park Library	7034049	mhaddadnull	12/01/2016	11/30/2017	Inactive	
Europe, UK	England	Hillingdon Libraries - Adults	HIL338		08/18/2015	08/31/2017	Inactive	
North America	Florida	Hillsborough County Public Library Cooperative	1719310	Doss	11/01/2016	10/31/2017	Inactive	
Australia	Victoria	Hobsons Bay Libraries			07/10/2013	07/31/2019	Active	
North America	Illinois	Hodgkins Public Library		mhaddadnull	03/01/2016	02/28/2017	Inactive	
North America	Alabama	Homewood Public Library	7052527	bgilbert	12/01/2016	11/30/2017	Inactive	
North America	Alabama	Hoover Public Library	7064185	bgilbert	09/01/2016	08/31/2017	Inactive	
Australia	New South Wales	Hornsby Library and Information Services			04/01/2015	03/31/2020	Active	
North America	South Carolina	Horry Georgetown Technical College	7099106	swilliams1	07/01/2016	06/30/2017	Inactive	
North America	British Columbia	Houston Public Library	7040638	Messersmith	01/01/2017	12/31/2017	Inactive	BC Libraries Cooperative 7040759
North America	Maryland	Howard County Library System	7109333	Doss	06/01/2016	05/31/2017	Inactive	
North America	Ohio	Hudson Library & Historical Society	7051258	dmcdonald1	02/01/2017	01/31/2018	Inactive	Acorn, Qello
North America	Massachusetts	Hudson Public Library	7040175	jlevy	04/01/2016	03/31/2017	Inactive	
North America	British Columbia	Hudson's Hope Public Library	7050030	Messersmith	01/01/2017	12/31/2017	Inactive	BC Libraries Cooperative 7040759
Europe, UK	England	Hull	KIN110		08/11/2016	08/31/2018	Inactive	
Australia	Victoria	Hume Libraries			07/01/2015	07/31/2019	Active	
North America	New Jersey	Hunterdon County Library		lkurucz	06/01/2016	05/31/2017	Inactive	
North America	California	Huntington Beach Public Library		hyena	10/01/2016	09/30/2017	Inactive	Santiago
North America	New York	Huntington Public Library	1719011	swilliams1	10/01/2016	09/30/2017	Inactive	
North America	Illinois	Huntley Library		mhaddadnull	12/01/2016	11/30/2017	Inactive	
North America	Ontario	Huron County Library		rseifert	01/01/2017	12/31/2017	Inactive	
Australia	New South Wales	Hurstville City Library Museum & Gallery	10000320		07/01/2015	07/31/2017	Inactive	
